GeneID	UniprotID	Gene_Name	Reviewed	Length
27445	Q9Y6V0	PCLO;ACZ;KIAA0559	reviewed	5142
54768	Q4G0P3	HYDIN;HYDIN1;KIAA1864	reviewed	5121
84162	A0A7P0T938;Q2LD37	BLTP1;BLTP1;FSA;KIAA1109;KIAA1371;TWEEK	unreviewed;reviewed	5093;5005
83481	P58107	EPPK1;EPIPL	reviewed	5088
256158	A0A804HLC3	HMCN2	unreviewed	5079
154664	Q86UQ4;A0A0A0MT16	ABCA13;ABCA13	reviewed;unreviewed	5058;5058
6261	P21817	RYR1;RYDR	reviewed	5038
79633	A0A6Q8JR05;Q6V0I7;A0A7P0T1I0;B3KU84;X2G5I7;X2GA70	FAT4;FAT4;CDHF14;FATJ;FAT4;-;FAT4;FAT4	unreviewed;reviewed;unreviewed;unreviewed;unreviewed;unreviewed	4983;4981;3240;1047;218;99
6262	Q92736	RYR2	reviewed	4967
58508	Q8NEZ4	KMT2C;HALR;KIAA1506;MLL3	reviewed	4911
6263	Q15413;A0A0U1RRH1	RYR3;HBRR;RYR3	reviewed;unreviewed	4870;4859
8925	Q15751;A0A024R5W0	HERC1;HERC1	reviewed;unreviewed	4861;4861
57448	Q9NR09	BIRC6;KIAA1289	reviewed	4857
8924	O95714;A8KAQ8	HERC2;HERC2	reviewed;unreviewed	4834;703
23077	A0A804HL12;A0A804HKQ1;O75592	MYCBP2;MYCBP2;MYCBP2;KIAA0916;PAM	unreviewed;unreviewed;reviewed	4772;4752;4678
144132	Q96M86;B0I1S4	DNHD1;C11orf47;CCDC35;DHCD1;DNHD1L;-	reviewed;unreviewed	4753;3841
1769	A0A075B6F3;Q96JB1;Q8IU65	DNAH8;DNAH8;DNAH8	unreviewed;reviewed;unreviewed	4707;4490;217
57519	Q9P2P6	STARD9;KIAA1300	reviewed	4700
5339	Q15149;A0A8I5KUE3	PLEC;PLEC1;PLEC	reviewed;unreviewed	4684;4524
4036	Q7Z5C1;Q7Z5C0;P98164	-;-;LRP2	unreviewed;unreviewed;reviewed	4655;4655;4655
1778	Q14204	DYNC1H1;DHC1;DNCH1;DNCL;DNECL;DYHC;KIAA0325	reviewed	4646
1767	Q8TE73	DNAH5;DNAHC5;HL1;KIAA1603	reviewed	4624
53353	Q9NZR2	LRP1B;LRPDIT	reviewed	4599
2195	Q14517	FAT1;CDHF7;FAT	reviewed	4588
26278	A0A804HIQ1;Q9NZJ4	SACS;SACS;KIAA0730	unreviewed;reviewed	4588;4579
338	P04114;Q59HB3;Q7Z7Q0	APOB;-;APOB	reviewed;unreviewed;unreviewed	4563;1615;825
120114	Q8TDW7	FAT3;CDHF15;KIAA1989	reviewed	4557
4035	Q07954;Q59FG2	LRP1;A2MR;APR;-	reviewed;unreviewed	4544;2359
8701	Q96DT5;Q96NT7;H9NAJ8;H9NAJ7	DNAH11;-;DNAH11;DNAH11	reviewed;unreviewed;unreviewed;unreviewed	4516;333;242;224
140453	Q685J3	MUC17;MUC3	reviewed	4493
1770	Q9NYC9;Q99499	DNAH9;DNAH17L;DNEL1;KIAA0357;-	reviewed;unreviewed	4486;798
196385	Q8IVF4;B0I1S1	DNAH10;KIAA2017;-	reviewed;unreviewed	4471;3319
8632	Q9UFH2	DNAH17;DNAHL1;DNEL2	reviewed	4462
146754	Q9P225	DNAH2;DNAHC2;DNHD3;KIAA1503	reviewed	4427
3339	P98160	HSPG2	reviewed	4391
55187	Q5THJ4	VPS13D;KIAA0453	reviewed	4388
288	Q12955;Q8NAK2	ANK3;-	reviewed;unreviewed	4377;549
10075	A0A024R9W5;Q7Z6Z7	HUWE1;HUWE1;KIAA0312;KIAA1578;UREB1	unreviewed;reviewed	4374;4374
2196	Q9NYQ8;Q6PIA2	FAT2;CDHF8;KIAA0811;MEGF1;FAT2	reviewed;unreviewed	4349;740
79659	Q8NCM8	DYNC2H1;DHC1B;DHC2;DNCH2;DYH1B;KIAA1997	reviewed	4307
5310	P98161	PKD1	reviewed	4303
283450	F8VWT9	HECTD4	unreviewed	4284
25981	A0A140VJI6;Q9P2D7	-;DNAH1;DHC7;DNAHC1;KIAA1410	unreviewed;reviewed	4265;4265
7148	P22105;Q9Y464;Q6IPK3;O95680;O95681	TNXB;HXBL;TNX;TNXB1;TNXB2;XB;XB;TNXB;XB;XB	reviewed;unreviewed;unreviewed;unreviewed;unreviewed	4244;865;853;426;423
93035	Q86WI1	PKHD1L1	reviewed	4243
7840	Q8TCU4	ALMS1;KIAA0328	reviewed	4168
1768	Q9C0G6	DNAH6;DNAHC6;DNHL1;HL2;KIAA1697	reviewed	4158
5591	P78527	PRKDC;HYRC;HYRC1	reviewed	4128
55567	Q8TD57;B4E1S1	DNAH3;DNAHC3B;-	reviewed;unreviewed	4116;685
5314	P08F94	PKHD1;FCYT;TIGM1	reviewed	4074
202333	Q8N3K9	CMYA5;C5orf10;DTNBP2;SPRYD2;TRIM76	reviewed	4069
2312	P20930	FLG	reviewed	4061
56171	Q8WXX0	DNAH7;KIAA0944	reviewed	4024
157680	Q7Z7G8	VPS13B;CHS1;COH1;KIAA0532	reviewed	4022
80144	Q86XX4	FRAS1;KIAA1500	reviewed	4008
4297	Q03164	KMT2A;ALL1;CXXC7;HRX;HTRX;MLL;MLL1;TRX1	reviewed	3969
287	Q01484	ANK2;ANKB	reviewed	3957
84627	H3BS19	ZNF469	unreviewed	3953
10142	A0A0A0MRF6;A0A7P0TBH8;Q99996;Q5GIA7;Q6PJH3	AKAP9;AKAP9;AKAP9;AKAP350;AKAP450;KIAA0803;-;AKAP9	unreviewed;unreviewed;reviewed;unreviewed;unreviewed	3931;3923;3907;1016;314
8927	Q9UPA5	BSN;KIAA0434;ZNF231	reviewed	3926
8295	Q9Y4A5	TRRAP;PAF400	reviewed	3859
1130	Q99698	LYST;CHS;CHS1	reviewed	3801
100132406	Q6P3W6	NBPF10	reviewed	3795
54832	Q709C8	VPS13C;KIAA1421	reviewed	3753
114788	Q7Z407	CSMD3;KIAA1894	reviewed	3707
463	Q15911;Q8N2Y6	ZFHX3;ATBF1;C16orf47;ZFHX3	reviewed;unreviewed	3703;886
3911	O15230	LAMA5;KIAA0533;KIAA1907	reviewed	3695
1756	P11532;A7E212;Q4G0X0;A0A0S2Z3J7;A0A0S2Z3B5;Q16484	DMD;DMD;DMD;DMD;DMD;DMD	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	3685;1243;772;635;617;14
51332	Q9NRC6	SPTBN5;BSPECV;HUBSPECV;HUSPECV	reviewed	3674
23013	Q96T58	SPEN;KIAA0929;MINT;SHARP	reviewed	3664
23049	Q96Q15	SMG1;ATX;KIAA0421;LIP	reviewed	3661
8029	O60494	CUBN;IFCR	reviewed	3623
79776	E7EVZ1;Q86UP3	ZFHX4;ZFHX4	unreviewed;reviewed	3590;3567
79987	Q5JB40;Q4LDE5;B3KQM1	-;SVEP1;C9orf13;CCP22;SELOB;-	unreviewed;reviewed;unreviewed	3574;3571;418
64478	Q96PZ7;Q59FF8	CSMD1;KIAA1890;-	reviewed;unreviewed	3564;2966
9736	Q70CQ2	USP34;KIAA0570;KIAA0729	reviewed	3546
51168	Q9UKN7	MYO15A;MYO15	reviewed	3530
23001	A0A024RDC2;Q8IZQ1	WDFY3;WDFY3;KIAA0993	unreviewed;reviewed	3526;3526
127602	Q0VDD8	DNAH14;C1orf67	reviewed	3507
114784	Q7Z408	CSMD2;KIAA1884	reviewed	3487
259266	Q8IZT6;B3KWI2	ASPM;MCPH5;-	reviewed;unreviewed	3477;1277
5649	P78509	RELN	reviewed	3460
7402	P46939;Q6LBS5	UTRN;DMDL;DRP1;-	reviewed;unreviewed	3433;490
23334	Q5T011	SZT2;C1orf84;KIAA0467	reviewed	3432
675	P51587	BRCA2;FACD;FANCD1	reviewed	3418
1462	Q59FG9;A0A024RAQ9;P13611;A0A024RAL1;Q6MZK8;A0A024RAP3;Q86W61	-;CSPG2;VCAN;CSPG2;CSPG2;DKFZp686K06110;CSPG2;VCAN	unreviewed;unreviewed;reviewed;unreviewed;unreviewed;unreviewed;unreviewed	3410;3396;3396;2409;2060;1642;354
129446	A4UGR9	XIRP2;CMYA3	reviewed	3374
54798	Q6V1P9;A0A0A0MRC0;Q6V1P8	DCHS2;CDH27;CDHJ;PCDH23;PCDHJ;DCHS2;PCDHJ	reviewed;unreviewed;unreviewed	3371;1369;702
64072	Q9H251;A0A087WYR8;Q6P152;Q8N5B3;A5D6V9	CDH23;KIAA1774;KIAA1812;CDH23;CDH23;CDH23;CDH23	reviewed;unreviewed;unreviewed;unreviewed;unreviewed	3354;1381;1381;1061;406
5116	A0A8Q3SHZ3;O95613	PCNT;PCNT;KIAA0402;PCNT2	unreviewed;reviewed	3347;3336
3909	Q16787;A0A0A0MSA0;A0A0A6YYF2;A0A0A0MTS5	LAMA3;LAMNA;LAMA3;LAMA3;LAMA3	reviewed;unreviewed;unreviewed;unreviewed	3333;3277;1724;1668
4584	Q02505;Q9H3Q6	MUC3A;MUC3;MUC3A	reviewed;unreviewed	3323;877
1951	Q9NYQ7	CELSR3;CDHF11;EGFL1;FMI1;KIAA0812;MEGF2	reviewed	3312
8642	Q96JQ0	DCHS1;CDH19;CDH25;FIB1;KIAA1773;PCDH16	reviewed	3298
10290	Q15772	SPEG;APEG1;KIAA1297	reviewed	3267
2804	Q14789	GOLGB1	reviewed	3259
285175	Q8N2C7;A0A669KAW8	UNC80;C2orf21;KIAA1843;UNC80	reviewed;unreviewed	3258;3256
4288	P46013	MKI67	reviewed	3256
65250	A0A494BZW6;Q9H799	CPLANE1;CPLANE1;C5orf42;JBTS17	unreviewed;reviewed	3251;3197
10847	Q6ZRS2	SRCAP;KIAA0309	reviewed	3230
5903	P49792	RANBP2;NUP358	reviewed	3224
286464	Q6ZTR5	CFAP47;CHDC2;CXorf22;CXorf30;CXorf59	reviewed	3187
57705	Q6ZS81;A0A1W7HCV9	WDFY4;C10orf64;KIAA1607;WDFY4	reviewed;unreviewed	3184;2005
1293	P12111;D9ZGF2;B7ZW00;Q63HQ4;Q8N4Z1	COL6A3;COL6A3;COL6A3;DKFZp686K04147;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed	3177;3177;2570;1222;979
23230	Q96RL7	VPS13A;CHAC;KIAA0986	reviewed	3174
341640	Q5SZK8	FREM2	reviewed	3169
346007	Q5T1H1	EYS;C6orf178;C6orf179;C6orf180;EGFL10;EGFL11;SPAM	reviewed	3165
57634	Q96L91	EP400;CAGH32;KIAA1498;KIAA1818;TNRC12	reviewed	3159
3064	P42858	HTT;HD;IT15	reviewed	3142
5980	O60673;Q9UG47	REV3L;POLZ;REV3;DKFZp566H033	reviewed;unreviewed	3130;323
3908	P24043;Q59H37	LAMA2;LAMM;-	reviewed;unreviewed	3122;1853
9857	Q5VT06	CEP350;CAP350;KIAA0480	reviewed	3117
1063	P49454	CENPF	reviewed	3114
7204	O75962	TRIO	reviewed	3097
144535	Q96N23	CFAP54;C12orf55;C12orf63	reviewed	3096
201625	Q6ZR08	DNAH12;DHC3;DLP12;DNAH12L;DNAH7L;DNAHC3;DNHD2;HDHC3;HL19	reviewed	3092
158471	Q8WUY3;A0A088AWP5;D6RTK6;G8XWS8;Q5JUB8;B4DJW7;B4DSQ3	PRUNE2;BMCC1;BNIPXL;C9orf65;KIAA0367;PRUNE2;PRUNE2;PRUNE2;PRUNE2;-;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	3088;3062;3062;3057;353;337;324
139378	Q8IZF6	ADGRG4;GPR112	reviewed	3080
284217	P25391	LAMA1;LAMA	reviewed	3075
23269	Q8IWI9	MGA;KIAA0518;MAD5	reviewed	3065
1303	Q99715	COL12A1;COL12A1L	reviewed	3063
472	Q13315;A0A024R3C7	ATM;ATM	reviewed;unreviewed	3056;3056
259282	Q8NFC6	BOD1L1;BOD1L;FAM44A;KIAA1327	reviewed	3051
1657	F5H269;B2RWN7;Q9Y485;F1T0K4	DMXL1;DMXL1;DMXL1;XL1;DMXL1	unreviewed;unreviewed;reviewed;unreviewed	3048;3048;3027;2854
2186	Q12830	BPTF;FAC1;FALZ	reviewed	3046
23312	A0A024R5V2;Q8TDJ6	DMXL2;DMXL2;KIAA0856	unreviewed;reviewed	3036;3036
9620	Q9NYQ6	CELSR1;CDHF9;FMI2	reviewed	3014
10129	Q5TBA9	FRY;C13orf14	reviewed	3013
285527	O94915;B3KXG5;Q6ZR29	FRYL;AF4P12;KIAA0826;-;-	reviewed;unreviewed;unreviewed	3013;1455;1433
55636	Q9P2D1;Q6ZWF9	CHD7;KIAA1416;-	reviewed;unreviewed	2997;572
8997	O60229;C9IZQ6;A0A804HKT9;A0A804HKJ7	KALRN;DUET;DUO;HAPIP;TRAD;KALRN;KALRN;KALRN	reviewed;unreviewed;unreviewed;unreviewed	2986;1654;1613;709
131544	Q68DQ2	CRYBG3	reviewed	2970
55870	Q9NR48;A0A7I2YQU9;A0A7I2V316;A0A7I2V3D6	ASH1L;KIAA1420;KMT2H;ASH1L;ASH1L;ASH1L	reviewed;unreviewed;unreviewed;unreviewed	2969;2904;1741;1726
9881	A0A2R8YEM9;O15050	TRANK1;TRANK1;KIAA0342;LBA1	unreviewed;reviewed	2969;2925
84629	O15417;A3KMH2	TNRC18;CAGL79;KIAA1856;TNRC18	reviewed;unreviewed	2968;337
26960	Q5T321;Q8NFP9;B3KXQ8	NBEA;NBEA;BCL8B;KIAA1544;LYST2;-	unreviewed;reviewed;unreviewed	2967;2946;1558
23140	O43149	ZZEF1;KIAA0399	reviewed	2961
10579	O95359;B7ZMJ9;B2RWP4;Q4VXL8;D6RAA5;Q4VXL4	TACC2;TACC2;TACC2;TACC2;TACC2;TACC2	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	2948;2875;2826;1038;1008;575
1294	Q02388;Q59F16	COL7A1;-	reviewed;unreviewed	2944;1027
340990	Q6ZRI0;H9KVB3	OTOG;OTGN;OTOG	reviewed;unreviewed	2925;2913
1952	Q9HCU4	CELSR2;CDHF10;EGFL2;KIAA0279;MEGF3	reviewed	2923
2201	P35556	FBN2	reviewed	2912
83889	E7ESW6;Q6ZQQ6;B4DZG8	WDR87;WDR87;-	unreviewed;reviewed;unreviewed	2912;2873;1216
80205	Q3L8U1	CHD9;KIAA0308;KISH2;PRIC320	reviewed	2897
23215	Q9Y520;E7EPN9	PRRC2C;BAT2D1;BAT2L2;KIAA1096;XTP2;PRRC2C	reviewed;unreviewed	2896;2819
1832	P15924;Q4LE79;B4DKX6	DSP;DSP variant protein;-	reviewed;unreviewed;unreviewed	2871;2319;954
2200	P35555	FBN1;FBN	reviewed	2871
987	P50851	LRBA;BGL;CDC4L;LBA	reviewed	2863
84467	A0A494C0D8;A8KAY2;Q75N90	FBN3;FBN3;FBN3;KIAA1776	unreviewed;unreviewed;reviewed	2851;2809;2809
388697	Q86YZ3	HRNR;S100A18	reviewed	2850
168507	Q8TDX9	PKD1L1	reviewed	2849
324	Q4LE70;P25054	APC variant protein;APC;DP2.5	unreviewed;reviewed	2845;2843
1954	Q7Z7M0	MEGF8;C19orf49;EGFL4;KIAA0817	reviewed	2845
23037	A0A024RE15;O15018	-;PDZD2;AIPC;KIAA0300;PDZK3	unreviewed;reviewed	2839;2839
4763	P21359	NF1	reviewed	2839
25878	Q9NR99	MXRA5	reviewed	2828
25832	A0A087WZJ2	NBPF14	unreviewed	2819
11214	Q12802;A8MYJ1;B0AZU4	AKAP13;BRX;HT31;LBC;AKAP13;-	reviewed;unreviewed;unreviewed	2813;1434;385
7450	P04275	VWF;F8VWF	reviewed	2813
7455	Q9Y493;B4DYT6	ZAN;-	reviewed;unreviewed	2812;1185
25836	Q6KC79;A0A590UJS4	NIPBL;IDN3;SCC2;NIPBL	reviewed;unreviewed	2804;2649
4130	P78559;Q504X9	MAP1A;MAP1L;MAP1A	reviewed;unreviewed	2803;627
51366	O95071	UBR5;EDD;EDD1;HYD;KIAA0896	reviewed	2799
27340	O75691	UTP20;DRIM	reviewed	2785
57451	Q9NT68;G3V106;A0A8Q3SIA3;F8VNQ3	TENM2;KIAA1127;ODZ2;TNM2;TENM2;TENM2;TENM2	reviewed;unreviewed;unreviewed;unreviewed	2774;2653;2577;2535
26011	Q6N022	TENM4;KIAA1302;ODZ4;TNM4	reviewed	2769
7038	P01266	TG	reviewed	2768
80184	A0A6Q8PGB1;J3KNF5;O15078;Q05BJ6	CEP290;CEP290;CEP290;BBS14;KIAA0373;NPHP6;CEP290	unreviewed;unreviewed;reviewed;unreviewed	2766;2482;2479;805
3708	Q14643;A0A3F2YNW8;A0A3B3ITU8;Q59H91;B4DER3;B4DGH1	ITPR1;INSP3R1;ITPR1;ITPR1;-;-;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	2758;2750;2744;1207;1101;466
23218	Q6ZNJ1	NBEAL2;KIAA0540	reviewed	2754
8972	O43451	MGAM;MGA;MGAML	reviewed	2753
23524	A0A140VK53;Q9UQ35	-;SRRM2;KIAA0324;SRL300;SRM300	unreviewed;reviewed	2752;2752
63895	Q9H5I5	PIEZO2;C18orf30;C18orf58;FAM38B	reviewed	2752
10178	B7ZMH4;Q9UKZ4	ODZ1;TENM1;ODZ1;TNM1	unreviewed;reviewed	2731;2725
2318	Q14315;Q59H94	FLNC;ABPL;FLN2;-	reviewed;unreviewed	2725;1342
23036	O60281	ZNF292;KIAA0530	reviewed	2723
3096	P15822	HIVEP1;ZNF40	reviewed	2718
54777	Q8IYW2	CFAP46;C10orf123;C10orf124;C10orf92;C10orf93;TTC40	reviewed	2715
84181	Q8TD26	CHD6;CHD5;KIAA1335;RIGB	reviewed	2715
9757	Q9UMN6	KMT2B;HRX2;KIAA0304;MLL2;MLL4;TRX2;WBP7	reviewed	2715
1062	Q02224	CENPE	reviewed	2701
3709	Q14571	ITPR2	reviewed	2701
55714	A0A140VJW8;Q9P273	-;TENM3;KIAA1455;ODZ3;TNM3	unreviewed;reviewed	2699;2699
64324	Q96L73;Q96MN8	NSD1;ARA267;KMT3B;-	reviewed;unreviewed	2696;942
65065	Q6ZS30	NBEAL1;ALS2CR16;ALS2CR17	reviewed	2694
57578	A0A8Q3SHN5;Q9P2D8	UNC79;UNC79;KIAA1409	unreviewed;reviewed	2685;2635
23064	Q7Z333	SETX;ALS4;KIAA0625;SCAR1	reviewed	2677
10985	Q92616	GCN1;GCN1L1;KIAA0219	reviewed	2671
3710	Q14573;Q59ES2;A6H8K3	ITPR3;-;ITPR3	reviewed;unreviewed;unreviewed	2671;2341;1049
29123	Q6UB99	ANKRD11;ANCO1	reviewed	2663
85441	Q9BYK8	HELZ2;KIAA1769;PRIC285	reviewed	2649
2316	P21333;Q60FE5;Q6NXF2	FLNA;FLN;FLN1;FLNA;FLNA	reviewed;unreviewed;unreviewed	2647;2620;983
545	Q13535	ATR;FRP1	reviewed	2644
57597	Q9P281	BAHCC1;BAHD2;KIAA1447	reviewed	2639
7011	Q99973;G3V5X7	TEP1;TLP1;TP1;TEP1	reviewed;unreviewed	2627;2519
55814	A6H8Y1	BDP1;KIAA1241;KIAA1689;TFNR	reviewed	2624
285313	Q6WRI0	IGSF10;CMF608	reviewed	2623
375449	O15021;B4DKT8;B4DSE5;B4DS23;Q6T2V4;E7EX28	MAST4;KIAA0303;-;-;-;-;MAST4	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	2623;993;880;868;238;238
23358	Q9UPU5	USP24;KIAA1057	reviewed	2620
256076	A8TX70	COL6A5;COL29A1;VWA4	reviewed	2615
25831	Q9ULT8;A0A087X2H1;A0A8I5QJU2;H0YJD4	HECTD1;KIAA1131;HECTD1;HECTD1;HECTD1	reviewed;unreviewed;unreviewed;unreviewed	2610;2608;2563;2329
26057	O75179	ANKRD17;GTAR;KIAA0697	reviewed	2603
2317	O75369	FLNB;FLN1L;FLN3;TABP;TAP	reviewed	2602
85459	Q9C0D2	CEP295;KIAA1731	reviewed	2601
26154	Q86UK0;B3KVV3	ABCA12;ABC12;-	reviewed;unreviewed	2595;643
10721	O75417;Q59EE4	POLQ;POLH;-	reviewed;unreviewed	2590;2214
57680	Q9HCK8	CHD8;HELSNF1;KIAA1564	reviewed	2581
57724	Q9HCE0;A0A8Q3SIJ2;Q9BTI0	EPG5;KIAA1632;EPG5;KIAA1632	reviewed;unreviewed;unreviewed	2579;2544;505
85446	A0A2P1H683;Q9C0A1;B9EK48;B7ZM83	ZFHX2;ZFHX2;KIAA1056;KIAA1762;ZNF409;ZFHX2;ZFHX2	unreviewed;reviewed;unreviewed;unreviewed	2572;2572;1427;1193
23166	Q9NY15	STAB1;FEEL1;KIAA0246	reviewed	2570
84700	Q8IUG5	MYO18B	reviewed	2567
29072	Q9BYW2	SETD2;HIF1;HYPB;KIAA1732;KMT3A;SET2	reviewed	2564
57731	Q9H254	SPTBN4;KIAA1642;SPTBN3	reviewed	2564
4851	P46531	NOTCH1;TAN1	reviewed	2555
8287	O00507	USP9Y;DFFRY	reviewed	2555
8239	Q93008;Q6P468;Q86X58	USP9X;DFFRX;FAM;USP9;USP9X;USP9X	reviewed;unreviewed;unreviewed	2554;918;473
55576	Q8WWQ8	STAB2;FEEL2;FELL;FEX2;HARE	reviewed	2551
2475	P42345	MTOR;FRAP;FRAP1;FRAP2;RAFT1;RAPT1	reviewed	2549
4649	B2RTY4	MYO9A;MYR7	reviewed	2548
23503	A0A7I2YQU3;Q68DK2	ZFYVE26;ZFYVE26;KIAA0321	unreviewed;reviewed	2545;2539
404734	Q8IWZ3	ANKHD1;KIAA1085;MASK;VBARP	reviewed	2542
54882	Q8IWZ3	ANKHD1;KIAA1085;MASK;VBARP	reviewed	2542
253959	A0A7P0TAR5;A0A1B0GUI1;H0YJB5;Q6GYQ0	RALGAPA1;RALGAPA1;RALGAPA1;RALGAPA1;GARNL1;KIAA0884;TULIP1	unreviewed;unreviewed;unreviewed;reviewed	2542;2495;2131;2036
83660	Q9Y4G6	TLN2;KIAA0320	reviewed	2542
7094	Q9Y490	TLN1;KIAA1027;TLN	reviewed	2541
221037	Q15652;B7ZLC8	JMJD1C;JHDM2C;KIAA1380;TRIP8;JMJD1C	reviewed;unreviewed	2540;2358
55125	Q8TEP8;Q9HCK3	CEP192;KIAA1569;KIAA1569	reviewed;unreviewed	2537;1140
176	A0A5K1VW97;P16112	ACAN;ACAN;AGC1;CSPG1;MSK16	unreviewed;reviewed	2530;2530
120892	Q17RV3;Q5S007	LRRK2;LRRK2;PARK8	unreviewed;reviewed	2527;2527
9780	Q92508	PIEZO1;FAM38A;KIAA0233	reviewed	2521
23152	A0A7P0T9K5;Q96RK0;A0A0A0MQR4	CIC;CIC;KIAA0306;CIC	unreviewed;reviewed;unreviewed	2517;1608;1606
23113	Q8IWT3	CUL9;H7AP1;KIAA0708;PARC	reviewed	2517
93432	Q2M2H8	MGAM2	reviewed	2515
9612	Q9Y618;C9J0Q5;C9JE98	NCOR2;CTG26;NCOR2;NCOR2	reviewed;unreviewed;unreviewed	2514;2504;2458
773	A0A087WW63;O00555;Q9NS89;B5TYJ1	CACNA1A;CACNA1A;CACH4;CACN3;CACNL1A4;CACNA1A;CACNA1A	unreviewed;reviewed;unreviewed;unreviewed	2512;2506;2472;2263
2194	P49327	FASN;FAS	reviewed	2511
58499	Q63HJ5;Q96JM2	DKFZp686L2367;ZNF462;KIAA1803	unreviewed;reviewed	2506;2506
546	A4LAA3;P46100;B4DLW1	ATRX;ATRX;RAD54L;XH2;-	unreviewed;reviewed;unreviewed	2492;2492;322
3482	P11717	IGF2R;MPRI	reviewed	2491
1378	E9PDY4;P17927	CR1;CR1;C3BR	unreviewed;reviewed	2489;2039
89797	Q8IVL1;A7E2D6	NAV2;HELAD1;KIAA1419;POMFIL2;RAINB1;STEERIN2;NAV2	reviewed;unreviewed	2488;2432
5783	Q12923	PTPN13;PNP1;PTP1E;PTPL1	reviewed	2485
9659	A0A075B749;Q5VU43	PDE4DIP;PDE4DIP;CMYA2;KIAA0454;KIAA0477;MMGL	unreviewed;reviewed	2482;2346
23331	Q96AY4	TTC28;KIAA1043;TPRBK	reviewed	2481
2335	P02751;B7ZLE5;Q6MZM7;Q6MZF4;Q6N084;Q9UQS6	FN1;FN;FN1;DKFZp686O12165;DKFZp686K139;DKFZp686F219;DKFZp686L11144;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	2477;2240;2193;1103;1034;354
23033	Q5TA12;Q5JWR5;B2RWN9	DOP1A;DOP1A;DOPEY1;KIAA1117;DOPEY1	unreviewed;reviewed;unreviewed	2476;2465;2456
55183	Q5UIP0	RIF1	reviewed	2472
6709	Q13813;A0A384P5S9	SPTAN1;NEAS;SPTA2;-	reviewed;unreviewed	2472;2452
